Source,Target,Type,Id,Label,Weight,,,,
7,2,Directed,p0[,*M+,]=threshold;,,p0[7*M+2]=threshold;,,p0[2*M+7]=threshold;
22,15,Directed,p0[,*M+,]=threshold;,,p0[22*M+15]=threshold;,,p0[15*M+22]=threshold;
34,6,Directed,p0[,*M+,]=threshold;,,p0[34*M+6]=threshold;,,p0[6*M+34]=threshold;
38,8,Directed,p0[,*M+,]=threshold;,,p0[38*M+8]=threshold;,,p0[8*M+38]=threshold;
41,30,Directed,p0[,*M+,]=threshold;,,p0[41*M+30]=threshold;,,p0[30*M+41]=threshold;
45,25,Directed,p0[,*M+,]=threshold;,,p0[45*M+25]=threshold;,,p0[25*M+45]=threshold;
46,12,Directed,p0[,*M+,]=threshold;,,p0[46*M+12]=threshold;,,p0[12*M+46]=threshold;
51,1,Directed,p0[,*M+,]=threshold;,,p0[51*M+1]=threshold;,,p0[1*M+51]=threshold;
51,50,Directed,p0[,*M+,]=threshold;,,p0[51*M+50]=threshold;,,p0[50*M+51]=threshold;
53,35,Directed,p0[,*M+,]=threshold;,,p0[53*M+35]=threshold;,,p0[35*M+53]=threshold;
54,16,Directed,p0[,*M+,]=threshold;,,p0[54*M+16]=threshold;,,p0[16*M+54]=threshold;
54,29,Directed,p0[,*M+,]=threshold;,,p0[54*M+29]=threshold;,,p0[29*M+54]=threshold;
55,52,Directed,p0[,*M+,]=threshold;,,p0[55*M+52]=threshold;,,p0[52*M+55]=threshold;
57,36,Directed,p0[,*M+,]=threshold;,,p0[57*M+36]=threshold;,,p0[36*M+57]=threshold;
60,15,Directed,p0[,*M+,]=threshold;,,p0[60*M+15]=threshold;,,p0[15*M+60]=threshold;
61,43,Directed,p0[,*M+,]=threshold;,,p0[61*M+43]=threshold;,,p0[43*M+61]=threshold;
61,49,Directed,p0[,*M+,]=threshold;,,p0[61*M+49]=threshold;,,p0[49*M+61]=threshold;
66,11,Directed,p0[,*M+,]=threshold;,,p0[66*M+11]=threshold;,,p0[11*M+66]=threshold;
69,39,Directed,p0[,*M+,]=threshold;,,p0[69*M+39]=threshold;,,p0[39*M+69]=threshold;
74,68,Directed,p0[,*M+,]=threshold;,,p0[74*M+68]=threshold;,,p0[68*M+74]=threshold;
76,59,Directed,p0[,*M+,]=threshold;,,p0[76*M+59]=threshold;,,p0[59*M+76]=threshold;
77,57,Directed,p0[,*M+,]=threshold;,,p0[77*M+57]=threshold;,,p0[57*M+77]=threshold;
77,61,Directed,p0[,*M+,]=threshold;,,p0[77*M+61]=threshold;,,p0[61*M+77]=threshold;
81,57,Directed,p0[,*M+,]=threshold;,,p0[81*M+57]=threshold;,,p0[57*M+81]=threshold;
84,6,Directed,p0[,*M+,]=threshold;,,p0[84*M+6]=threshold;,,p0[6*M+84]=threshold;
88,70,Directed,p0[,*M+,]=threshold;,,p0[88*M+70]=threshold;,,p0[70*M+88]=threshold;
89,11,Directed,p0[,*M+,]=threshold;,,p0[89*M+11]=threshold;,,p0[11*M+89]=threshold;
90,5,Directed,p0[,*M+,]=threshold;,,p0[90*M+5]=threshold;,,p0[5*M+90]=threshold;
91,2,Directed,p0[,*M+,]=threshold;,,p0[91*M+2]=threshold;,,p0[2*M+91]=threshold;
92,4,Directed,p0[,*M+,]=threshold;,,p0[92*M+4]=threshold;,,p0[4*M+92]=threshold;
92,78,Directed,p0[,*M+,]=threshold;,,p0[92*M+78]=threshold;,,p0[78*M+92]=threshold;
95,25,Directed,p0[,*M+,]=threshold;,,p0[95*M+25]=threshold;,,p0[25*M+95]=threshold;
95,43,Directed,p0[,*M+,]=threshold;,,p0[95*M+43]=threshold;,,p0[43*M+95]=threshold;
96,62,Directed,p0[,*M+,]=threshold;,,p0[96*M+62]=threshold;,,p0[62*M+96]=threshold;
98,94,Directed,p0[,*M+,]=threshold;,,p0[98*M+94]=threshold;,,p0[94*M+98]=threshold;
100,44,Directed,p0[,*M+,]=threshold;,,p0[100*M+44]=threshold;,,p0[44*M+100]=threshold;
105,33,Directed,p0[,*M+,]=threshold;,,p0[105*M+33]=threshold;,,p0[33*M+105]=threshold;
105,90,Directed,p0[,*M+,]=threshold;,,p0[105*M+90]=threshold;,,p0[90*M+105]=threshold;
107,9,Directed,p0[,*M+,]=threshold;,,p0[107*M+9]=threshold;,,p0[9*M+107]=threshold;
109,105,Directed,p0[,*M+,]=threshold;,,p0[109*M+105]=threshold;,,p0[105*M+109]=threshold;
112,48,Directed,p0[,*M+,]=threshold;,,p0[112*M+48]=threshold;,,p0[48*M+112]=threshold;
112,51,Directed,p0[,*M+,]=threshold;,,p0[112*M+51]=threshold;,,p0[51*M+112]=threshold;
112,73,Directed,p0[,*M+,]=threshold;,,p0[112*M+73]=threshold;,,p0[73*M+112]=threshold;
112,77,Directed,p0[,*M+,]=threshold;,,p0[112*M+77]=threshold;,,p0[77*M+112]=threshold;
