Source,Target,Type,Id,Label,Weight
1,52,Directed,41851,,1.0
1,165,Directed,42014,,1.0
1,205,Directed,42082,,1.0
1,208,Directed,42086,,1.0
1,362,Directed,42310,,1.0
1,388,Directed,42343,,1.0
2,3,Directed,41780,,1.0
2,131,Directed,41969,,1.0
3,4,Directed,41781,,1.0
3,10,Directed,41782,,1.0
3,13,Directed,41790,,1.0
3,14,Directed,41795,,1.0
3,15,Directed,41797,,1.0
3,43,Directed,41836,,1.0
3,44,Directed,41837,,1.0
3,48,Directed,41844,,1.0
3,49,Directed,41846,,2.0
3,64,Directed,41867,,1.0
3,72,Directed,41877,,1.0
3,76,Directed,41882,,1.0
3,97,Directed,41918,,1.0
3,105,Directed,41931,,1.0
3,133,Directed,41971,,1.0
3,159,Directed,42006,,1.0
3,174,Directed,42033,,1.0
3,212,Directed,42092,,1.0
3,270,Directed,42175,,1.0
3,272,Directed,42178,,1.0
3,298,Directed,42215,,1.0
4,7,Directed,41783,,1.0
4,9,Directed,41784,,1.0
4,12,Directed,41789,,1.0
4,17,Directed,41800,,1.0
4,20,Directed,41803,,1.0
4,29,Directed,41815,,1.0
4,47,Directed,41842,,1.0
4,74,Directed,41880,,1.0
4,85,Directed,41894,,1.0
4,101,Directed,41925,,1.0
4,120,Directed,41956,,1.0
4,155,Directed,42002,,1.0
4,171,Directed,42025,,1.0
4,191,Directed,42056,,1.0
4,192,Directed,42057,,1.0
4,200,Directed,42067,,1.0
4,294,Directed,42209,,1.0
4,314,Directed,42236,,1.0
4,369,Directed,42321,,1.0
4,390,Directed,42345,,1.0
4,486,Directed,42484,,1.0
4,500,Directed,42503,,1.0
5,7,Directed,41785,,1.0
5,164,Directed,42013,,1.0
6,9,Directed,41786,,1.0
6,93,Directed,41907,,1.0
6,315,Directed,42238,,1.0
6,338,Directed,42271,,1.0
6,386,Directed,42341,,1.0
7,10,Directed,41787,,1.0
7,13,Directed,41791,,1.0
7,14,Directed,41794,,1.0
7,16,Directed,41798,,1.0
7,17,Directed,41799,,1.0
7,19,Directed,41802,,1.0
7,23,Directed,41807,,1.0
7,25,Directed,41809,,1.0
7,36,Directed,41827,,1.0
7,42,Directed,41835,,1.0
7,53,Directed,41852,,1.0
7,58,Directed,41860,,1.0
7,66,Directed,41869,,1.0
7,71,Directed,41876,,1.0
7,75,Directed,41881,,1.0
7,92,Directed,41906,,1.0
7,100,Directed,41923,,1.0
7,102,Directed,41926,,1.0
7,110,Directed,41939,,1.0
7,127,Directed,41964,,1.0
7,161,Directed,42009,,1.0
7,199,Directed,42066,,1.0
7,237,Directed,42125,,1.0
7,239,Directed,42128,,1.0
7,249,Directed,42144,,1.0
7,260,Directed,42160,,1.0
7,313,Directed,42234,,1.0
7,316,Directed,42240,,1.0
7,332,Directed,42262,,1.0
7,336,Directed,42267,,1.0
7,343,Directed,42279,,1.0
7,384,Directed,42339,,1.0
7,415,Directed,42375,,1.0
8,14,Directed,41793,,1.0
8,46,Directed,41841,,1.0
8,100,Directed,41924,,1.0
8,107,Directed,41935,,1.0
9,11,Directed,41788,,1.0
9,14,Directed,41796,,1.0
