Source,Target,Type,Id,Label,Weight
1,8,Directed,1,,1.0
1,17,Directed,2,,1.0
1,39,Directed,3,,1.0
1,59,Directed,4,,1.0
1,60,Directed,5,,1.0
1,61,Directed,6,,1.0
1,70,Directed,7,,1.0
1,125,Directed,8,,1.0
1,147,Directed,9,,1.0
1,191,Directed,10,,1.0
1,196,Directed,11,,1.0
1,207,Directed,12,,1.0
1,224,Directed,13,,1.0
1,240,Directed,14,,1.0
1,264,Directed,15,,1.0
1,293,Directed,16,,1.0
1,305,Directed,17,,1.0
1,319,Directed,18,,1.0
1,321,Directed,19,,1.0
1,326,Directed,20,,1.0
1,351,Directed,21,,1.0
1,363,Directed,22,,1.0
1,370,Directed,23,,1.0
1,390,Directed,24,,1.0
1,409,Directed,25,,1.0
1,428,Directed,26,,1.0
1,438,Directed,27,,1.0
1,446,Directed,28,,1.0
1,487,Directed,29,,1.0
1,501,Directed,30,,1.0
1,511,Directed,31,,1.0
1,543,Directed,32,,1.0
1,575,Directed,33,,1.0
1,581,Directed,34,,1.0
1,611,Directed,35,,1.0
1,639,Directed,36,,1.0
1,673,Directed,37,,1.0
1,678,Directed,38,,1.0
1,679,Directed,39,,1.0
1,698,Directed,40,,1.0
1,740,Directed,41,,1.0
1,748,Directed,42,,1.0
1,778,Directed,43,,1.0
1,839,Directed,44,,1.0
1,887,Directed,45,,1.0
1,953,Directed,46,,1.0
2,3,Directed,47,,1.0
2,57,Directed,48,,1.0
2,75,Directed,49,,1.0
2,83,Directed,50,,1.0
2,104,Directed,51,,1.0
2,107,Directed,52,,1.0
2,131,Directed,53,,1.0
2,143,Directed,54,,1.0
2,154,Directed,55,,1.0
2,155,Directed,56,,1.0
2,156,Directed,57,,1.0
2,175,Directed,58,,1.0
2,178,Directed,59,,1.0
2,231,Directed,60,,1.0
2,232,Directed,61,,1.0
2,241,Directed,62,,1.0
2,280,Directed,63,,1.0
2,287,Directed,64,,1.0
2,288,Directed,65,,1.0
2,335,Directed,66,,1.0
2,341,Directed,67,,1.0
2,357,Directed,68,,1.0
2,367,Directed,69,,1.0
2,392,Directed,70,,1.0
2,404,Directed,71,,1.0
2,412,Directed,72,,1.0
2,414,Directed,73,,1.0
2,425,Directed,74,,1.0
2,434,Directed,75,,1.0
2,454,Directed,76,,1.0
2,469,Directed,77,,1.0
2,470,Directed,78,,1.0
2,486,Directed,79,,1.0
2,499,Directed,80,,1.0
2,535,Directed,81,,1.0
2,542,Directed,82,,1.0
2,552,Directed,83,,1.0
2,562,Directed,84,,1.0
2,578,Directed,85,,1.0
2,584,Directed,86,,1.0
2,628,Directed,87,,1.0
2,657,Directed,88,,1.0
2,664,Directed,89,,1.0
2,809,Directed,90,,1.0
2,839,Directed,91,,1.0
2,845,Directed,92,,1.0
2,880,Directed,93,,1.0
2,883,Directed,94,,1.0
2,899,Directed,95,,1.0
2,900,Directed,96,,1.0
2,904,Directed,97,,1.0
2,911,Directed,98,,1.0
2,932,Directed,99,,1.0
2,946,Directed,100,,1.0
2,993,Directed,101,,1.0
2,999,Directed,102,,1.0
3,5,Directed,103,,1.0
3,37,Directed,104,,1.0
3,111,Directed,105,,1.0
3,123,Directed,106,,1.0
3,148,Directed,107,,1.0
3,189,Directed,108,,1.0
3,207,Directed,109,,1.0
3,211,Directed,110,,1.0
3,226,Directed,111,,1.0
3,251,Directed,112,,1.0
3,291,Directed,113,,1.0
3,311,Directed,114,,1.0
3,351,Directed,115,,1.0
3,427,Directed,116,,1.0
3,435,Directed,117,,1.0
3,444,Directed,118,,1.0
3,451,Directed,119,,1.0
3,471,Directed,120,,1.0
3,480,Directed,121,,1.0
3,529,Directed,122,,1.0
3,531,Directed,123,,1.0
3,536,Directed,124,,1.0
3,547,Directed,125,,1.0
3,583,Directed,126,,1.0
3,641,Directed,127,,1.0
3,643,Directed,128,,1.0
3,657,Directed,129,,1.0
3,668,Directed,130,,1.0
3,708,Directed,131,,1.0
3,753,Directed,132,,1.0
3,815,Directed,133,,1.0
3,819,Directed,134,,1.0
3,827,Directed,135,,1.0
3,870,Directed,136,,1.0
3,877,Directed,137,,1.0
3,878,Directed,138,,1.0
3,882,Directed,139,,1.0
3,884,Directed,140,,1.0
3,901,Directed,141,,1.0
3,905,Directed,142,,1.0
3,909,Directed,143,,1.0
3,923,Directed,144,,1.0
3,928,Directed,145,,1.0
3,950,Directed,146,,1.0
3,957,Directed,147,,1.0
3,959,Directed,148,,1.0
3,971,Directed,149,,1.0
3,976,Directed,150,,1.0
3,992,Directed,151,,1.0
4,18,Directed,152,,1.0
4,72,Directed,153,,1.0
4,123,Directed,154,,1.0
4,145,Directed,155,,1.0
4,160,Directed,156,,1.0
4,167,Directed,157,,1.0
4,170,Directed,158,,1.0
4,186,Directed,159,,1.0
4,203,Directed,160,,1.0
4,219,Directed,161,,1.0
4,224,Directed,162,,1.0
4,256,Directed,163,,1.0
4,272,Directed,164,,1.0
4,288,Directed,165,,1.0
4,307,Directed,166,,1.0
4,309,Directed,167,,1.0
4,414,Directed,168,,1.0
4,432,Directed,169,,1.0
4,434,Directed,170,,1.0
4,436,Directed,171,,1.0
4,438,Directed,172,,1.0
4,452,Directed,173,,1.0
4,496,Directed,174,,1.0
4,517,Directed,175,,1.0
4,541,Directed,176,,1.0
4,602,Directed,177,,1.0
4,608,Directed,178,,1.0
4,637,Directed,179,,1.0
4,678,Directed,180,,1.0
4,736,Directed,181,,1.0
4,743,Directed,182,,1.0
4,749,Directed,183,,1.0
4,755,Directed,184,,1.0
4,756,Directed,185,,1.0
4,779,Directed,186,,1.0
4,780,Directed,187,,1.0
4,781,Directed,188,,1.0
4,803,Directed,189,,1.0
4,815,Directed,190,,1.0
4,854,Directed,191,,1.0
4,857,Directed,192,,1.0
4,858,Directed,193,,1.0
4,869,Directed,194,,1.0
4,873,Directed,195,,1.0
4,880,Directed,196,,1.0
4,914,Directed,197,,1.0
4,928,Directed,198,,1.0
4,941,Directed,199,,1.0
4,945,Directed,200,,1.0
4,955,Directed,201,,1.0
