Source,Target,Type,Id,Label,Weight
1,16,Directed,1,,1.0
1,64,Directed,2,,1.0
1,70,Directed,3,,1.0
1,82,Directed,4,,1.0
1,101,Directed,5,,1.0
1,120,Directed,6,,1.0
1,123,Directed,7,,1.0
1,153,Directed,8,,1.0
1,181,Directed,9,,1.0
1,195,Directed,10,,1.0
1,266,Directed,11,,1.0
1,274,Directed,12,,1.0
1,294,Directed,13,,1.0
1,300,Directed,14,,1.0
1,305,Directed,15,,1.0
1,309,Directed,16,,1.0
1,315,Directed,17,,1.0
1,369,Directed,18,,1.0
1,451,Directed,19,,1.0
1,484,Directed,20,,1.0
2,15,Directed,21,,1.0
2,34,Directed,22,,1.0
2,175,Directed,23,,1.0
2,209,Directed,24,,1.0
2,211,Directed,25,,1.0
2,213,Directed,26,,1.0
2,218,Directed,27,,1.0
2,239,Directed,28,,1.0
2,271,Directed,29,,1.0
2,275,Directed,30,,1.0
2,288,Directed,31,,1.0
2,324,Directed,32,,1.0
2,363,Directed,33,,1.0
2,365,Directed,34,,1.0
2,372,Directed,35,,1.0
2,381,Directed,36,,1.0
2,436,Directed,37,,1.0
2,442,Directed,38,,1.0
2,446,Directed,39,,1.0
2,461,Directed,40,,1.0
2,492,Directed,41,,1.0
3,11,Directed,42,,1.0
3,12,Directed,43,,1.0
3,40,Directed,44,,1.0
3,42,Directed,45,,1.0
3,46,Directed,46,,1.0
3,74,Directed,47,,1.0
3,140,Directed,48,,1.0
3,161,Directed,49,,1.0
3,172,Directed,50,,1.0
3,179,Directed,51,,1.0
3,181,Directed,52,,1.0
3,201,Directed,53,,1.0
3,202,Directed,54,,1.0
3,203,Directed,55,,1.0
3,218,Directed,56,,1.0
3,222,Directed,57,,1.0
3,237,Directed,58,,1.0
3,271,Directed,59,,1.0
3,277,Directed,60,,1.0
3,309,Directed,61,,1.0
3,310,Directed,62,,1.0
3,332,Directed,63,,1.0
3,333,Directed,64,,1.0
3,359,Directed,65,,1.0
3,368,Directed,66,,1.0
3,381,Directed,67,,1.0
3,382,Directed,68,,1.0
3,424,Directed,69,,1.0
3,429,Directed,70,,1.0
3,434,Directed,71,,1.0
3,442,Directed,72,,1.0
3,448,Directed,73,,1.0
3,483,Directed,74,,1.0
4,5,Directed,75,,1.0
4,19,Directed,76,,1.0
4,54,Directed,77,,1.0
4,74,Directed,78,,1.0
4,97,Directed,79,,1.0
4,122,Directed,80,,1.0
4,124,Directed,81,,1.0
4,173,Directed,82,,1.0
4,176,Directed,83,,1.0
4,187,Directed,84,,1.0
4,192,Directed,85,,1.0
4,234,Directed,86,,1.0
4,270,Directed,87,,1.0
4,278,Directed,88,,1.0
4,284,Directed,89,,1.0
4,300,Directed,90,,1.0
4,302,Directed,91,,1.0
4,347,Directed,92,,1.0
4,360,Directed,93,,1.0
4,392,Directed,94,,1.0
4,400,Directed,95,,1.0
4,431,Directed,96,,1.0
4,452,Directed,97,,1.0
4,457,Directed,98,,1.0
4,461,Directed,99,,1.0
4,478,Directed,100,,1.0
5,12,Directed,101,,1.0
5,15,Directed,102,,1.0
5,28,Directed,103,,1.0
5,29,Directed,104,,1.0
5,37,Directed,105,,1.0
5,39,Directed,106,,1.0
5,56,Directed,107,,1.0
5,108,Directed,108,,1.0
5,144,Directed,109,,1.0
5,145,Directed,110,,1.0
5,197,Directed,111,,1.0
5,210,Directed,112,,1.0
5,242,Directed,113,,1.0
5,247,Directed,114,,1.0
5,253,Directed,115,,1.0
5,289,Directed,116,,1.0
5,309,Directed,117,,1.0
5,342,Directed,118,,1.0
5,376,Directed,119,,1.0
5,394,Directed,120,,1.0
5,414,Directed,121,,1.0
5,432,Directed,122,,1.0
5,459,Directed,123,,1.0
5,469,Directed,124,,1.0
5,470,Directed,125,,1.0
5,494,Directed,126,,1.0
6,24,Directed,127,,1.0
6,35,Directed,128,,1.0
6,45,Directed,129,,1.0
6,64,Directed,130,,1.0
6,95,Directed,131,,1.0
6,101,Directed,132,,1.0
6,181,Directed,133,,1.0
6,203,Directed,134,,1.0
6,208,Directed,135,,1.0
6,214,Directed,136,,1.0
6,222,Directed,137,,1.0
6,231,Directed,138,,1.0
6,255,Directed,139,,1.0
6,256,Directed,140,,1.0
6,278,Directed,141,,1.0
6,285,Directed,142,,1.0
6,290,Directed,143,,1.0
6,306,Directed,144,,1.0
6,313,Directed,145,,1.0
6,316,Directed,146,,1.0
6,339,Directed,147,,1.0
6,341,Directed,148,,1.0
6,391,Directed,149,,1.0
6,399,Directed,150,,1.0
6,462,Directed,151,,1.0
6,481,Directed,152,,1.0
6,499,Directed,153,,1.0
7,10,Directed,154,,1.0
7,74,Directed,155,,1.0
7,86,Directed,156,,1.0
7,100,Directed,157,,1.0
7,128,Directed,158,,1.0
7,132,Directed,159,,1.0
7,150,Directed,160,,1.0
7,156,Directed,161,,1.0
7,162,Directed,162,,1.0
7,167,Directed,163,,1.0
7,201,Directed,164,,1.0
7,230,Directed,165,,1.0
7,246,Directed,166,,1.0
7,255,Directed,167,,1.0
7,293,Directed,168,,1.0
7,308,Directed,169,,1.0
7,312,Directed,170,,1.0
7,319,Directed,171,,1.0
7,328,Directed,172,,1.0
7,349,Directed,173,,1.0
7,365,Directed,174,,1.0
7,372,Directed,175,,1.0
7,392,Directed,176,,1.0
7,395,Directed,177,,1.0
7,396,Directed,178,,1.0
7,410,Directed,179,,1.0
7,421,Directed,180,,1.0
7,425,Directed,181,,1.0
7,438,Directed,182,,1.0
7,466,Directed,183,,1.0
7,499,Directed,184,,1.0
8,10,Directed,185,,1.0
8,32,Directed,186,,1.0
8,47,Directed,187,,1.0
8,55,Directed,188,,1.0
8,65,Directed,189,,1.0
8,76,Directed,190,,1.0
8,80,Directed,191,,1.0
8,107,Directed,192,,1.0
8,129,Directed,193,,1.0
8,155,Directed,194,,1.0
8,158,Directed,195,,1.0
8,179,Directed,196,,1.0
8,181,Directed,197,,1.0
8,183,Directed,198,,1.0
8,195,Directed,199,,1.0
8,228,Directed,200,,1.0
8,238,Directed,201,,1.0
8,239,Directed,202,,1.0
8,263,Directed,203,,1.0
8,271,Directed,204,,1.0
8,297,Directed,205,,1.0
8,304,Directed,206,,1.0
8,306,Directed,207,,1.0
8,314,Directed,208,,1.0
8,343,Directed,209,,1.0
8,346,Directed,210,,1.0
8,357,Directed,211,,1.0
8,432,Directed,212,,1.0
8,438,Directed,213,,1.0
8,465,Directed,214,,1.0
8,472,Directed,215,,1.0
8,499,Directed,216,,1.0
9,17,Directed,217,,1.0
9,75,Directed,218,,1.0
9,91,Directed,219,,1.0
9,94,Directed,220,,1.0
9,96,Directed,221,,1.0
9,107,Directed,222,,1.0
9,142,Directed,223,,1.0
9,182,Directed,224,,1.0
9,189,Directed,225,,1.0
9,249,Directed,226,,1.0
9,251,Directed,227,,1.0
9,255,Directed,228,,1.0
9,265,Directed,229,,1.0
9,282,Directed,230,,1.0
9,297,Directed,231,,1.0
9,302,Directed,232,,1.0
9,317,Directed,233,,1.0
