Source,Target,Type,Id,Label,Weight
1,2,Directed,1,,1.0
1,3,Directed,2,,1.0
1,499,Directed,998,,1.0
1,500,Directed,999,,1.0
2,3,Directed,3,,1.0
2,4,Directed,4,,1.0
2,500,Directed,1000,,1.0
3,4,Directed,5,,1.0
3,5,Directed,6,,1.0
4,5,Directed,7,,1.0
4,6,Directed,8,,1.0
5,6,Directed,9,,1.0
5,7,Directed,10,,1.0
6,7,Directed,11,,1.0
6,8,Directed,12,,1.0
7,8,Directed,13,,1.0
7,9,Directed,14,,1.0
8,9,Directed,15,,1.0
8,10,Directed,16,,1.0
9,10,Directed,17,,1.0
9,11,Directed,18,,1.0
10,11,Directed,19,,1.0
10,12,Directed,20,,1.0
11,12,Directed,21,,1.0
11,13,Directed,22,,1.0
12,13,Directed,23,,1.0
12,14,Directed,24,,1.0
13,14,Directed,25,,1.0
13,15,Directed,26,,1.0
14,15,Directed,27,,1.0
14,16,Directed,28,,1.0
15,16,Directed,29,,1.0
15,17,Directed,30,,1.0
16,17,Directed,31,,1.0
16,18,Directed,32,,1.0
17,18,Directed,33,,1.0
17,19,Directed,34,,1.0
18,19,Directed,35,,1.0
18,20,Directed,36,,1.0
19,20,Directed,37,,1.0
19,21,Directed,38,,1.0
20,21,Directed,39,,1.0
20,22,Directed,40,,1.0
21,22,Directed,41,,1.0
21,23,Directed,42,,1.0
22,23,Directed,43,,1.0
22,24,Directed,44,,1.0
23,24,Directed,45,,1.0
23,25,Directed,46,,1.0
24,25,Directed,47,,1.0
24,26,Directed,48,,1.0
25,26,Directed,49,,1.0
25,27,Directed,50,,1.0
26,27,Directed,51,,1.0
26,28,Directed,52,,1.0
27,28,Directed,53,,1.0
27,29,Directed,54,,1.0
28,29,Directed,55,,1.0
28,30,Directed,56,,1.0
29,30,Directed,57,,1.0
29,31,Directed,58,,1.0
30,31,Directed,59,,1.0
30,32,Directed,60,,1.0
31,32,Directed,61,,1.0
31,33,Directed,62,,1.0
32,33,Directed,63,,1.0
