Source,Target,Type,Id,Label,Weight
148,232,Directed,760,,1.0
232,233,Directed,269,,1.0
232,234,Directed,270,,1.0
232,297,Directed,864,,1.0
232,378,Directed,888,,1.0
378,379,Directed,406,,1.0
67,68,Directed,105,,1.0
67,69,Directed,106,,1.0
67,476,Directed,907,,1.0
68,69,Directed,107,,1.0
69,234,Directed,941,,1.0
69,448,Directed,824,,1.0
380,382,Directed,407,,1.0
248,250,Directed,279,,1.0
248,330,Directed,800,,1.0
248,353,Directed,526,,1.0
248,430,Directed,599,,1.0
248,431,Directed,699,,1.0
353,355,Directed,378,,1.0
432,433,Directed,463,,1.0
243,244,Directed,277,,1.0
244,246,Directed,278,,1.0
211,336,Directed,1035,,1.0
452,454,Directed,482,,1.0
452,490,Directed,563,,1.0
240,491,Directed,710,,1.0
33,35,Directed,75,,1.0
33,374,Directed,725,,1.0
35,37,Directed,76,,1.0
35,374,Directed,1022,,1.0
36,38,Directed,77,,1.0
32,349,Directed,1000,,1.0
365,498,Directed,624,,1.0
377,379,Directed,405,,1.0
377,380,Directed,897,,1.0
379,456,Directed,568,,1.0
233,234,Directed,271,,1.0
233,305,Directed,817,,1.0
234,235,Directed,272,,1.0
234,297,Directed,942,,1.0
381,382,Directed,408,,1.0
381,402,Directed,798,,1.0
382,383,Directed,409,,1.0
382,489,Directed,989,,1.0
383,384,Directed,410,,1.0
384,386,Directed,411,,1.0
384,488,Directed,629,,1.0
488,489,Directed,511,,1.0
195,255,Directed,877,,1.0
195,312,Directed,707,,1.0
195,439,Directed,687,,1.0
312,386,Directed,596,,1.0
385,386,Directed,412,,1.0
386,388,Directed,413,,1.0
387,388,Directed,414,,1.0
387,389,Directed,415,,1.0
387,481,Directed,961,,1.0
388,390,Directed,416,,1.0
389,391,Directed,417,,1.0
389,412,Directed,697,,1.0
412,413,Directed,441,,1.0
412,438,Directed,1020,,1.0
431,433,Directed,462,,1.0
433,434,Directed,464,,1.0
433,435,Directed,465,,1.0
17,19,Directed,62,,1.0
17,93,Directed,899,,1.0
17,132,Directed,613,,1.0
17,210,Directed,598,,1.0
19,20,Directed,64,,1.0
19,21,Directed,65,,1.0
19,192,Directed,750,,1.0
19,276,Directed,1028,,1.0
19,297,Directed,925,,1.0
18,20,Directed,63,,1.0
18,260,Directed,788,,1.0
18,282,Directed,614,,1.0
20,280,Directed,581,,1.0
21,22,Directed,66,,1.0
21,53,Directed,724,,1.0
21,495,Directed,735,,1.0
22,23,Directed,67,,1.0
22,229,Directed,572,,1.0
266,267,Directed,301,,1.0
266,298,Directed,867,,1.0
267,269,Directed,302,,1.0
297,298,Directed,327,,1.0
297,299,Directed,328,,1.0
297,407,Directed,782,,1.0
297,500,Directed,955,,1.0
298,299,Directed,329,,1.0
298,372,Directed,985,,1.0
